# num_bin  t_k  T_k^day  T_k^night
64   365.0   0.0   0.7
65   365.0   10.8   5.9
65   366.0   12.2   11.8
65   367.0   12.2   11.8
65   368.0   12.1   11.9
65   369.0   12.1   11.9
65   370.0   1.0   6.0
66   370.0   10.8   6.0
66   371.0   12.0   12.0
66   372.0   12.0   12.0
66   373.0   11.9   12.1
66   374.0   10.8   6.1
67   375.0   11.8   10.2
67   376.0   11.8   12.2
67   377.0   11.8   12.2
67   378.0   11.7   12.3
67   379.0   11.7   12.3
67   380.0   11.7   8.8
68   381.0   11.6   12.0
68   382.0   11.6   12.4
68   383.0   11.5   12.5
68   384.0   9.3   6.2
69   384.0   2.0   6.2
69   385.0   11.5   12.5
69   386.0   11.4   12.6
69   387.0   11.4   12.6
69   388.0   11.4   12.6
69   389.0   11.3   12.7
69   390.0   0.0   1.5
70   390.0   11.3   9.3
70   391.0   11.2   12.8
70   392.0   11.2   12.8
70   393.0   11.2   12.8
70   394.0   11.1   12.9
70   395.0   0.0   5.1
71   395.0   10.4   6.4
71   396.0   11.1   12.9
71   397.0   11.0   13.0
71   398.0   11.0   13.0
71   399.0   9.2   6.5
72   399.0   1.5   6.5
72   400.0   10.9   13.1
72   401.0   10.9   13.1
72   402.0   10.9   13.1
72   403.0   10.8   13.2
72   404.0   10.8   13.2
72   405.0   7.1   6.6
73   405.0   3.4   6.6
73   406.0   10.7   13.3
73   407.0   10.7   13.3
73   408.0   10.6   13.4
73   409.0   10.6   13.4
73   410.0   10.6   13.4
73   411.0   0.0   0.2
74   411.0   10.5   13.0
74   412.0   10.5   13.5
74   413.0   10.5   13.5
74   414.0   10.4   13.6
74   415.0   10.4   10.5
75   415.0   0.0   2.8
75   416.0   10.4   13.6
75   417.0   10.3   13.7
75   418.0   10.3   13.7
75   419.0   10.3   13.7
75   420.0   10.3   7.6
76   420.0   0.0   5.8
76   421.0   10.2   13.8
76   422.0   10.2   13.8
76   423.0   10.2   13.8
76   424.0   10.1   13.9
76   425.0   10.1   13.9
76   426.0   5.0   7.0
77   426.0   5.0   7.0
77   427.0   10.1   13.9
77   428.0   10.0   14.0
77   429.0   10.0   14.0
77   430.0   10.0   14.0
77   431.0   0.0   2.4
78   431.0   10.0   11.5
78   432.0   9.9   14.1
78   433.0   9.9   14.1
78   434.0   9.9   14.1
78   435.0   9.9   14.1
78   436.0   0.0   4.9
79   436.0   9.8   9.1
79   437.0   9.8   14.2
79   438.0   9.8   14.2
79   439.0   9.8   14.2
79   440.0   9.8   14.2
79   441.0   9.7   14.3
79   442.0   0.0   7.1
80   442.0   9.7   7.1
80   443.0   9.7   14.3
80   444.0   9.7   14.3
80   445.0   9.7   14.3
80   446.0   9.7   10.7
81   445.0   0.0   3.6
81   446.0   9.7   14.3
81   447.0   9.7   14.3
81   448.0   9.7   14.3
81   449.0   9.6   14.4
81   450.0   8.1   7.2
82   450.0   1.2   7.2
82   451.0   9.6   14.4
82   452.0   9.6   14.4
82   453.0   9.6   14.4
82   454.0   9.6   14.4
82   455.0   9.6   14.4
82   456.0   9.6   12.6
83   455.0   0.0   1.7
83   456.0   9.6   14.4
83   457.0   9.6   14.4
83   458.0   9.6   14.4
83   459.0   9.6   14.4
83   460.0   9.6   14.4
83   461.0   0.0   1.1
84   461.0   9.6   13.3
84   462.0   9.6   14.4
84   463.0   9.6   14.4
84   464.0   9.6   14.4
84   465.0   8.6   7.2
85   465.0   0.7   7.2
85   466.0   9.6   14.4
85   467.0   9.6   14.4
85   468.0   9.6   14.4
85   469.0   9.6   14.4
85   470.0   9.6   14.4
85   471.0   9.6   14.4
85   472.0   5.8   7.2
86   472.0   3.6   7.2
86   473.0   9.6   14.4
86   474.0   9.6   14.4
86   475.0   9.6   14.4
86   476.0   9.6   14.4
86   477.0   0.0   1.9
87   477.0   9.7   12.1
87   478.0   9.7   14.3
87   479.0   9.7   14.3
87   480.0   9.7   14.3
87   481.0   9.7   14.3
87   482.0   0.0   2.7
88   482.0   9.7   11.0
88   483.0   9.7   14.3
88   484.0   9.8   14.2
88   485.0   9.8   14.2
88   486.0   9.8   12.3
89   486.0   0.0   1.4
89   487.0   9.8   14.2
89   488.0   9.8   14.2
89   489.0   9.9   14.1
89   490.0   9.9   14.1
89   491.0   9.9   14.1
89   492.0   0.0   2.3
90   492.0   9.9   10.6
90   493.0   10.0   14.0
90   494.0   10.0   14.0
90   495.0   10.0   14.0
90   496.0   10.0   7.8
91   496.0   0.0   5.9
91   497.0   10.0   14.0
91   498.0   10.1   13.9
91   499.0   10.1   13.9
91   500.0   10.1   13.9
91   501.0   10.2   13.8
91   502.0   10.2   8.6
92   502.0   0.0   5.0
92   503.0   10.2   13.8
92   504.0   10.3   13.7
92   505.0   10.3   13.7
92   506.0   10.3   13.7
92   507.0   10.3   13.7
92   508.0   0.0   1.9
93   508.0   10.4   11.5
93   509.0   10.4   13.6
93   510.0   10.4   13.6
93   511.0   10.5   13.5
93   512.0   9.0   6.8
94   512.0   1.3   6.8
94   513.0   10.5   13.5
94   514.0   10.6   13.4
94   515.0   10.6   13.4
94   516.0   10.6   13.4
94   517.0   9.0   6.7
95   517.0   1.5   6.7
95   518.0   10.7   13.3
95   519.0   10.7   13.3
95   520.0   10.8   13.2
95   521.0   10.8   13.2
95   522.0   10.8   9.0
96   522.0   0.0   4.1
96   523.0   10.9   13.1
96   524.0   10.9   13.1
96   525.0   10.9   13.1
96   526.0   11.0   13.0
96   527.0   9.4   6.5
97   527.0   1.3   6.5
97   528.0   11.0   13.0
97   529.0   11.1   12.9
97   530.0   11.1   12.9
97   531.0   9.7   6.4
98   531.0   1.3   6.4
98   532.0   11.2   12.8
98   533.0   11.2   12.8
98   534.0   11.3   12.7
98   535.0   11.3   6.6
99   535.0   0.0   5.5
99   536.0   11.3   12.7
99   537.0   11.4   12.6
99   538.0   11.4   12.6
99   539.0   11.5   12.5
99   540.0   0.0   0.7
100   541.0   11.5   9.7
100   542.0   11.6   12.4
100   543.0   11.6   12.4
100   544.0   11.6   12.4
100   545.0   11.7   12.3
100   546.0   0.0   6.1
101   546.0   11.6   6.1
101   547.0   11.8   12.2
101   548.0   11.8   12.2
101   549.0   11.8   12.2
101   550.0   11.3   6.1
102   550.0   0.4   6.1
102   551.0   11.9   12.1
102   552.0   11.9   12.1
102   553.0   12.0   12.0
102   554.0   12.0   12.0
102   555.0   9.5   6.0
103   555.0   2.3   6.0
103   556.0   12.1   11.9
103   557.0   12.1   11.9
103   558.0   12.2   11.8
103   559.0   12.2   11.8
103   560.0   12.2   11.8
103   561.0   12.3   11.7
103   562.0   0.0   5.4
104   563.0   8.7   5.8
104   564.0   12.4   11.6
104   565.0   12.4   11.6
104   566.0   12.5   11.5
104   567.0   0.0   1.0
105   567.0   12.5   10.2
105   568.0   12.5   11.5
105   569.0   12.6   11.4
105   570.0   12.6   11.4
105   571.0   12.7   11.3
105   572.0   0.0   4.6
106   572.0   12.7   6.5
106   573.0   12.7   11.3
106   574.0   12.8   11.2
106   575.0   12.8   11.2
106   576.0   10.7   5.6
107   576.0   2.0   5.6
107   577.0   12.9   11.1
107   578.0   12.9   11.1
107   579.0   13.0   11.0
107   580.0   13.0   11.0
107   581.0   13.0   9.1
108   581.0   0.0   1.8
108   582.0   13.1   10.9
108   583.0   13.1   10.9
108   584.0   13.1   10.9
108   585.0   13.2   10.8
108   586.0   13.2   10.8
108   587.0   0.0   0.8
109   587.0   13.2   9.7
109   588.0   13.3   10.7
109   589.0   13.3   10.7
109   590.0   13.3   10.7
109   591.0   13.4   10.6
109   592.0   13.4   10.6
109   593.0   0.0   2.6
110   593.0   13.4   7.9
110   594.0   13.5   10.5
110   595.0   13.5   10.5
110   596.0   13.5   10.5
110   597.0   0.0   2.6
111   597.0   13.6   7.7
111   598.0   13.6   10.4
111   599.0   13.6   10.4
111   600.0   13.7   10.3
111   601.0   13.7   10.3
112   602.0   13.7   8.7
112   603.0   13.8   10.2
112   604.0   13.8   10.2
112   605.0   13.8   10.2
112   606.0   11.5   5.1
113   606.0   2.2   5.1
113   607.0   13.9   10.1
113   608.0   13.9   10.1
113   609.0   13.9   10.1
113   610.0   14.0   10.0
113   611.0   14.0   6.1
114   611.0   0.0   3.8
114   612.0   14.0   10.0
114   613.0   14.0   10.0
114   614.0   14.1   9.9
114   615.0   14.1   9.9
114   616.0   9.7   4.9
115   617.0   7.1   4.9
115   618.0   14.1   9.9
115   619.0   14.2   9.8
115   620.0   14.2   9.8
115   621.0   14.2   9.8
115   622.0   14.2   9.8
115   623.0   0.0   0.8
116   623.0   14.3   8.7
116   624.0   14.3   9.7
116   625.0   14.3   9.7
116   626.0   14.3   6.3
117   630.0   14.4   6.1
117   631.0   14.4   9.6
117   632.0   10.4   4.8
118   632.0   3.5   4.8
118   633.0   14.4   9.6
118   634.0   14.4   9.6
118   635.0   14.4   9.6
